,NonZeroPerRow,M,N,AvgTime,TotalRun,NonZeroElements,Bandwidth,Flops,ValueType,Strips
0,1.0,500000,1000000,0.31717875,200,500000,32.3790185,3.23790075,4,1202
1,2.0,500000,1000000,0.43850124999999995,200,1000000,37.0205205,4.62756375,4,1202
2,3.0,500000,1000000,0.56631125,200,1500000,38.84790325,5.2974405,4,1202
3,4.0,500000,1000000,0.7356385000000001,200,2000000,38.34889100000001,5.4784123,4,1202
4,5.0,500000,1000000,0.9572099999999999,200,2500000,35.51990125,5.22351425,4,1202
5,6.0,500000,1000000,1.2058875,200,3000000,33.332644,4.9998965,4,1202
6,7.0,500000,1000000,1.389075,200,3500000,33.115565749999995,5.0393247500000005,4,1202
7,8.0,500000,1000000,1.5479512500000001,200,4000000,33.65650825,5.177924,4,1202
8,9.0,500000,1000000,1.8779487499999998,200,4500000,30.884764,4.792463000000001,4,1202
9,10.0,500000,1000000,2.08674375,200,5000000,30.674611500000005,4.792908000000001,4,1202
10,15.0,500000,1000000,3.462675,200,7500000,27.146644000000002,4.331911,4,1202
11,20.0,500000,1000000,4.097,200,10000000,30.26604975,4.8816205,4,1202
12,25.0,500000,1000000,5.4559175,200,12500000,28.226233750000002,4.582180749999999,4,1202
13,30.0,500000,1000000,6.6697725,200,15000000,27.5871485,4.497904500000001,4,1202
14,35.0,500000,1000000,7.8894275,200,17500000,27.124909,4.43631675,4,1202
15,40.0,500000,1000000,8.684338749999998,200,20000000,28.09655525,4.6059927499999995,4,1202
16,45.0,500000,1000000,10.194535,200,22500000,26.87714575,4.41412975,4,1202
17,50.0,500000,1000000,11.3446625,200,25000000,26.796743,4.4073590000000005,4,1202
18,60.0,500000,1000000,13.504406249999999,200,30000000,26.954166,4.44299425,4,1202
19,70.0,500000,1000000,13.773275,200,35000000,30.78425475,5.08230625,4,1202
20,80.0,500000,1000000,15.243371250000001,200,40000000,31.751506749999997,5.24818275,4,1202
21,90.0,500000,1000000,17.58933,200,45000000,30.92784125,5.116738499999999,4,1202
22,100.0,500000,1000000,19.28362375,200,50000000,31.321914250000003,5.1857475,4,1202
