,Strips,M,N,AvgTime,TotalRun,NonZeroPerRow,NonZeroElements,Bandwidth,Flops,ValueType
0,217,90000,180000,0.06724416666666666,200,4.0,360000,74.95246516666667,10.707486500000002,4
1,241,100000,200000,0.07386,200,4.0,400000,75.82110533333334,10.831578666666667,4
2,289,120000,240000,0.08648,200,4.0,480000,77.70664533333333,11.100942666666667,4
3,337,140000,280000,0.10046499999999998,200,4.0,560000,78.03729016666666,11.148178666666666,4
4,385,160000,320000,0.12140083333333333,200,4.0,640000,73.80515316666666,10.543588666666666,4
5,433,180000,360000,0.17191583333333335,200,4.0,720000,58.63341066666666,8.376198166666667,4
6,481,200000,400000,0.21402,200,4.0,800000,52.34102116666667,7.477286166666667,4
7,601,250000,500000,0.32795166666666664,200,4.0,1000000,42.83120483333334,6.118741500000001,4
8,722,300000,600000,0.41610416666666666,200,4.0,1200000,40.63974533333334,5.805676666666667,4
9,842,350000,700000,0.4752958333333334,200,4.0,1400000,41.45941016666667,5.922771833333333,4
10,962,400000,800000,0.5440075000000001,200,4.0,1600000,41.2479305,5.892560333333333,4
11,1082,450000,900000,0.6280308333333333,200,4.0,1800000,40.12542616666667,5.732202999999999,4
12,1202,500000,1000000,0.7356385000000001,200,4.0,2000000,38.34889100000001,5.4784123,4
13,1443,600000,1200000,0.9557533333333333,200,4.0,2400000,35.314541166666665,5.044933833333334,4
14,1683,700000,1400000,1.1883650000000001,200,4.0,2800000,33.18397383333333,4.740567166666667,4
15,1924,800000,1600000,1.3977574999999998,200,4.0,3200000,32.18620083333334,4.598028333333333,4
16,2164,900000,1800000,1.5810183333333334,200,4.0,3600000,32.00052633333333,4.571503333333332,4
17,2404,1000000,2000000,1.7440283333333335,200,4.0,4000000,32.1095725,4.587081499999999,4
18,4808,2000000,4000000,3.8520195,200,4.0,8000000,29.075658699999998,4.1536653999999995,4
19,7212,3000000,6000000,5.9731974999999995,200,4.0,12000000,28.125640300000004,4.0179484,4
